STATION NAME                     ,WMO_ID, CN ,TYPE,LAT,LON,ELVATION
KELSO-LONGVIEW AUTOMATIC WEATHER ,, US ,SA,46.11667 ,-122.90000 ,5 
       KIVALINA KIVALINA AIRPORT ,, US ,SA,67.73111 ,-164.54250 ,3 
                    SAN CLEMENTE ,, US ,SA,33.41667 ,-117.61667 ,3 
           POINT LOMA / CABRILLO ,, US ,SA,32.66667 ,-117.48333 ,111 
                  CABRILLO BEACH ,, US ,SA,33.71667 ,-118.28333 ,8 
           SCRIPPS PIER / LA JOL ,, US ,SA,32.86667 ,-117.25000 ,4 
           SANTA CATALINA ISLAND ,, US ,SA,33.33333 ,-118.33333 ,3 
                OCEANSIDE HARBOR ,, US ,SA,33.21667 ,-117.40000 ,9 
                          RAMONA ,, US ,SA,33.04000 ,-116.91000 ,425 
               HIGH ISLAND A489B ,, US ,SA,28.20000 ,-94.20000 ,
                  ANACAPA ISLAND ,, US ,SA,34.01667 ,-119.36667 ,42 
                    MALIBU BEACH ,, US ,SA,34.03333 ,-118.68333 ,139 
                   MISSION BEACH ,, US ,SA,32.76667 ,-117.23333 ,2 
                  INDIAN SPRINGS ,69017, US ,SA,36.53000 ,-115.57000 ,972 
         OXNARD / CHANNEL ISLAND ,, US ,SA,34.16667 ,-119.21667 ,2 
                 TERMINAL ISLAND ,, US ,SA,33.73333 ,-118.26667 ,10 
                  POINT VINCENTE ,, US ,SA,33.73333 ,-118.40000 ,5 
                EL CAPITAN BEACH ,, US ,SA,33.45000 ,-120.03333 ,27 
   LAMAR LAMAR MUNICIPAL AIRPORT ,, US ,SA,38.07250 ,-102.68667 ,1128 
LAFAYETTE PURDUE UNIVERSITY AIRP ,, US ,SA,40.41250 ,-86.94750 ,184 
               LAKELAND REGIONAL ,, US ,SA,27.98333 ,-82.01667 ,43 
                      LOS ALAMOS ,, US ,SA,35.88333 ,-106.28333 ,2179 
    LANSING CAPITAL CITY AIRPORT ,72539, US ,SA,42.78028 ,-84.57889 ,262 
LARAMIE LARAMIE REGIONAL AIRPORT ,, US ,SA,41.31639 ,-105.67222 ,2218 
LAS VEGAS MCCARRAN INTERNATIONAL ,72386, US ,SA,36.07889 ,-115.15528 ,663 
 LAWTON LAWTON MUNICIPAL AIRPORT ,, US ,SA,34.55750 ,-98.41667 ,338 
                         KLAWASI ,, US ,RW,62.14700 ,-144.92800 ,945 
LOS ANGELES LOS ANGELES INTERNAT ,72295, US ,SA,33.93806 ,-118.38889 ,38 
LUBBOCK LUBBOCK INTERNATIONAL AI ,72267, US ,SA,33.66750 ,-101.82139 ,1000 
           LATROBE / WESTMORLAND ,, US ,SA,40.28333 ,-79.40000 ,361 
NORTH PLATTE NORTH PLATTE REGION ,72562, US ,SA,41.12194 ,-100.66833 ,846 
NORTH PLATTE NORTH PLATTE REGION ,72562, US ,UA,41.13278 ,-100.69833 ,847 
LIBERAL MUNICIPAL AUTOMATIC WEAT ,, US ,SA,37.05000 ,-100.96667 ,879 
   CLARKSVILLE / RED RIVER CO AP ,, US ,SA,33.59316 ,-95.06356 ,134 
LUMBERTON LUMBERTON MUNICIPAL AI ,, US ,SA,34.60722 ,-79.06000 ,38 
                           KOLOB ,, US ,SN,37.52000 ,-113.03000 ,2819 
ANGLETON / LAKE JACKSON BRAZORIA ,, US ,SA,29.11528 ,-95.46306 ,7 
LAKE CHARLES LAKE CHARLES REGION ,72240, US ,SA,30.12472 ,-93.22833 ,4 
LAKE CHARLES LAKE CHARLES REGION ,72240, US ,UA,30.12472 ,-93.21528 ,3 
LACONIA MUNICIPAL AUTOMATIC WEAT ,, US ,SA,43.56667 ,-71.41667 ,166 
RICKENBACKER AIR NATIONAL GUARD  ,, US ,SA,39.81667 ,-82.93333 ,227 
  LUDINGTON MASON COUNTY AIRPORT ,, US ,SA,43.96667 ,-86.40000 ,197 
                           LEEDS ,, US ,SA,48.55000 ,-109.68333 ,775 
LEBANON LEBANON MUNICIPAL AIRPOR ,, US ,SA,43.62722 ,-72.30583 ,182 
