StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
KALBARRI,94401,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.70 ,114.15 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6115,0,7,6
DENHAM,94402,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.92 ,113.52 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6116,0,9,9
GERALDTON AIRPORT,94403,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.78 ,114.68 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6117,0,35,36
PAYNES FIND,94404,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.27 ,117.68 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6118,0,340,339
NORTH ISLAND,94405,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.30 ,113.58 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6119,0,2,3
GASCOYNE JUNCTION,94410,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.05 ,115.20 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6120,0,145,144
MULLEWA,94411,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.53 ,115.50 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6121,0,268,268
ENEABBA,94414,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.82 ,115.27 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6122,0,100,100
CARNAMAH,94415,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.68 ,115.88 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6123,0,268,268
MORAWA AIRPORT,94417,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.20 ,116.02 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,10671,0,271,270
MURCHISON,94422,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.88 ,115.95 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6125,0,288,287
MOUNT MAGNET AERO,94429,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.10 ,117.83 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,10421,0,408,411
MEEKATHARRA AIRPORT,94430,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.60 ,118.53 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6127,0,519,522
